facility_id,lat,lon,geo_source
FA0322004,34.189053902667,-118.448787032551,census
FA0250796,34.036188971513,-118.218178641003,census
FA0041381,34.146836493416,-118.423725211121,census
FA0250798,33.862649633417,-118.392487863592,census
FA0300690,33.988860229407,-118.353316169956,census
FA0276506,34.056245278311,-118.267506027694,census
FA0138860,33.868075775076,-118.099040023918,census
FA0159786,33.984689946644,-118.471655513123,census
FA0006168,34.018119931529,-118.248691197449,census
FA0312684,34.050455556178,-118.197758398172,census
FA0262764,34.091620924336,-118.223897905875,census
FA0226225,34.043376224414,-118.232521164416,census
FA0262766,34.024876099583,-118.25928017378,census
FA0312681,34.415445331428,-118.456270287013,census
FA0293083,33.942775681697,-118.028020949339,census
FA0260105,34.050635238041,-117.943688911734,census
FA0262757,34.088421135917,-117.889836176904,census
FA0284137,34.200820086536,-118.501194032248,census
FA0290804,34.044644469753,-118.252375385312,census
FA0041375,34.689555032491,-118.14595962332,census
FA0284136,33.8584575838,-118.089812275896,census
FA0315702,34.071977813327,-117.934778492147,census
FA0315703,33.858351861362,-118.092821353597,census
FA0315708,33.890898427076,-118.309202703108,census
FA0250785,34.03666882015,-118.193811651116,census
FA0071172,34.031572996777,-118.351554829358,census
FA0319294,34.104724031951,-117.90760016866,census
FA0319297,34.046833805928,-118.250232282439,census
FA0272150,34.114464267068,-118.073402908691,census
FA0071179,33.925684358391,-118.025633837674,census
FA0303707,34.079605117214,-118.090856737416,census
FA0313982,34.154944806541,-118.335952504548,census
FA0019430,34.061769509273,-117.776957771839,census
FA0159739,33.988973074465,-118.161488077871,census
FA0260179,34.201134841309,-118.408356085545,census
FA0067911,34.040658203084,-118.162443218345,census
FA0251220,34.106854740866,-117.893866114823,census
FA0020421,34.0158290925,-118.135311643407,census
FA0252554,34.017104439166,-118.220094017463,census
FA0320288,33.987109287687,-117.883483920065,census
FA0251227,34.139130717242,-117.86536681952,census
FA0160717,34.158896084657,-118.499280060647,census
FA0062222,34.38087131773,-118.56997368109,census
FA0325970,33.963606860818,-118.291943893488,census
FA0054664,33.946843888491,-118.000602978476,census
FA0071183,33.878327813364,-118.219194241989,census
FA0319283,33.872949859197,-118.083233862393,census
FA0008762,33.993945575747,-118.413585790165,census
FA0159721,34.039434420307,-118.143505577253,census
FA0261493,34.094263775893,-118.376406222914,census
FA0303714,34.063524361734,-118.29799587106,census
FA0273473,34.264625980798,-118.52567167836,census
FA0303713,34.070328688911,-118.2917367779,census
FA0264520,34.201357436062,-118.467414433876,census
FA0311332,33.831510048266,-118.274679771929,census
FA0166013,33.979077521213,-118.300198625606,census
FA0071184,33.922120515329,-118.099043637859,census
FA0226249,34.15089491349,-118.448902461452,census
FA0074212,34.038197143076,-118.441357798503,census
FA0303719,34.135748896008,-118.251649944017,census
FA0015085,34.206678752,-118.23152217381,census
FA0160707,34.061533440747,-118.269300508978,census
FA0320275,34.015544703462,-118.461663493989,census
FA0324634,33.860776122477,-118.082037867937,census
FA0260160,34.045180915698,-118.235624042208,census
FA0324632,33.917058850406,-118.014131989243,census
FA0293035,34.143208701597,-118.399930515558,census
FA0006137,34.02639610648,-118.229847549488,census
FA0030683,33.919699835225,-118.072741621418,census
FA0301981,34.704023567625,-118.148364854881,census
FA0030688,33.888621465854,-118.12519163606,census
FA0293037,34.014817851428,-118.49517536808,census
FA0159754,34.034387019738,-118.21555348949,census
FA0158423,34.264625980798,-118.52567167836,census
FA0311302,33.884377017498,-118.125312607651,census
FA0240540,34.408219881913,-118.579665884707,census
FA0294362,34.066219881917,-118.309033842001,census
FA0294361,34.063645613616,-118.297041889066,census
FA0015052,33.997933064885,-118.30899016441,census
FA0039012,33.823927748214,-118.328559323774,census
FA0324627,34.201258431272,-118.38353816737,census
FA0324624,34.004811773356,-118.152921244138,census
FA0040017,34.048067834906,-118.544441387648,census
FA0324622,34.003657781397,-118.408292937896,census
FA0019419,33.931114454364,-118.266204822567,census
FA0320266,33.959131701232,-118.165179795168,census
FA0176292,34.005541207882,-118.256416629081,census
FA0320267,33.986126197635,-117.871904762808,census
FA0049294,34.422698454312,-118.541762215102,census
FA0050280,34.081230392473,-118.090662925009,census
FA0313979,34.154944806541,-118.335952504548,census
FA0313978,34.154944806541,-118.335952504548,census
FA0294378,34.228038992671,-118.434392392071,census
FA0272122,34.416172713062,-118.457895692885,census
FA0166034,33.945371089701,-118.365837722701,census
FA0301997,34.201258431272,-118.38353816737,census
FA0301998,33.975119594579,-118.123641255855,census
FA0067936,34.052899704743,-118.249731786096,census
FA0159747,34.033590831038,-117.74036635793,census
FA0311311,33.964898563551,-118.150657948636,census
FA0138823,34.042809144585,-117.848817643282,census
FA0020405,33.952740439259,-118.164027733072,census
FA0030690,34.038360990366,-118.144877428168,census
FA0160729,34.144437830652,-118.257591914038,census
FA0021744,34.002564181273,-118.087066897113,census
FA0324615,34.664981743201,-118.128149794838,census
